dataset,image,height,width,gt_vessel_pixels,pred_vessel_pixels,dice,iou,sensitivity,specificity,precision,terminal_dice,terminal_iou,terminal_sensitivity,terminal_specificity,terminal_precision,gt_endpoint_count,pred_endpoint_count,endpoint_recall,endpoint_precision,missed_endpoint_count
AFIO,IM005249.png,1000,1504,115367,162409,0.470069408444214,0.3072488458226073,0.5659070618114366,0.930059274120664,0.4019912689567696,0.30334322963727894,0.17878880097382835,0.24004085801838612,0.9988813325284086,0.4119915848527349,64,2617,0.59375,0.02942300343905235,26
AFIO,IM005283.png,1000,1504,127214,176291,0.4790299995057742,0.3149503273240877,0.5714308173628688,0.9247544643829906,0.41235230386122945,0.3129183734638825,0.1854790951083738,0.2475889328063241,0.9985858080024037,0.4250814332247557,77,2895,0.7532467532467533,0.03730569948186528,19
AFIO,IM005320.png,1000,1504,70775,172215,0.33741306226593687,0.2029446127646092,0.5792158247968916,0.9084435451516685,0.238039659727666,0.3832080555949511,0.23701754385964913,0.33399258343634114,0.9988966335656736,0.4494344644045243,52,3037,0.7692307692307693,0.02140270003292723,12
AFIO,IM005321.png,1000,1504,78259,168884,0.4104020749120954,0.2581798003349811,0.6480277028840133,0.9171167834831151,0.30028895573292913,0.4511759635512868,0.29130227381141677,0.38302320719213884,0.9989954756382832,0.548831635710006,64,2649,0.703125,0.03095507738769347,19
AFIO,IM005357.png,1000,1504,101059,183352,0.4298356955251379,0.273752048941716,0.6048446946833038,0.912878018391365,0.33337514725773376,0.39954526663910706,0.24964484050109775,0.33167467398764583,0.9987217756038692,0.5023388773388774,71,3017,0.7183098591549296,0.03248259860788863,20
AFIO,IM005387.png,1000,1504,122868,166972,0.5111992823626829,0.3433631353791534,0.6029478790246443,0.9327442996035137,0.4436851687708119,0.3231336589255457,0.19270090347123156,0.25779262086513993,0.9985818368284424,0.4328437917222964,85,2378,0.7058823529411765,0.04373423044575273,25
AFIO,IM005456.png,1000,1504,99076,125329,0.4839820859606515,0.31924562465829126,0.5481044854455166,0.9494456639647412,0.4332915765704665,0.24280947084061655,0.13818050280340025,0.18670576735092864,0.9990419412390626,0.34711494775102225,59,2108,0.6101694915254238,0.030834914611005692,23
AFIO,IM005457.png,1000,1504,99941,147324,0.468363901077791,0.3057931981411069,0.5793918411862999,0.9363139298277352,0.39304526078575114,0.33266479475865757,0.1995188452285485,0.24609297725024729,0.9992127796550241,0.5132013201320133,67,2297,0.6119402985074627,0.030474531998258596,26
AFIO,IM005488.png,1000,1504,158066,169676,0.5637971331108006,0.3925609300112172,0.5845026760973264,0.9425781650511837,0.5445083571041278,0.3062696504531163,0.18082550775278444,0.25287590349180494,0.997380497758967,0.38824632697718037,163,2574,0.754601226993865,0.09906759906759907,40
AFIO,IM005489.png,1000,1504,154555,166713,0.5085785076633839,0.3410025336744959,0.5285820581669955,0.9369978028004106,0.49003377061176995,0.3240847151535052,0.19337774294670845,0.2417340191036003,0.9986348752602228,0.4915338645418327,103,2846,0.7281553398058253,0.05165144061841181,28
