image,method,removed_far_components,removed_weak_components,gt_vessel_pixels,pred_vessel_pixels,dice,iou,sensitivity,specificity,precision,fp_pixels,fn_pixels,fp_over_gt_area,fn_over_gt_area,terminal_dice,terminal_iou,terminal_sensitivity,terminal_specificity,terminal_precision,terminal_fp_pixels,terminal_fn_pixels,terminal_fp_over_gt_area,terminal_fn_over_gt_area,gt_endpoint_count,pred_endpoint_count,endpoint_recall,endpoint_precision,missed_endpoint_count,skeleton_distance_f1_radius_5
05_g.jpg,baseline_raw,0,0,62788,133585,0.5762910379736522,0.4047814921059597,0.9011913104414856,0.9141774742201397,0.42358049182168656,77001,6204,1.2263649104924508,0.09880868955851436,0.8265865565152084,0.7044290834613415,0.7044290834613415,1.0,1.0,0,2309,0.0,0.29557091653865847,855,2292,0.7298245614035088,0.225130890052356,231,0.7482236263651171
05_g.jpg,connected_recovery_raw,0,0,62788,152595,0.5392533301142616,0.3691627995677325,0.9249060329999363,0.8946492021952448,0.38056948130672696,94522,4715,1.5054150474612984,0.07509396700006371,0.8444641668515642,0.7307987711213517,0.7307987711213517,1.0,1.0,0,2103,0.0,0.2692012288786482,855,2292,0.7111111111111111,0.22076788830715532,247,0.7528760598394948
05_g.jpg,soft_structure_refined,0,3899,62788,135957,0.5698055296988603,0.3984112241595249,0.9018124482385169,0.9115771969166707,0.4164772685481439,79334,6165,1.2635216920430656,0.09818755176148308,0.8265865565152084,0.7044290834613415,0.7044290834613415,1.0,1.0,0,2309,0.0,0.29557091653865847,855,2296,0.7321637426900585,0.22560975609756098,229,0.7474436586927854
05_h.jpg,baseline_raw,0,0,86639,153752,0.6310219600567409,0.46094381476191926,0.8754256166391579,0.9107974823698333,0.49330090015089234,77906,10793,0.8992024377012662,0.12457438336084212,0.7458607940845523,0.5947193027428864,0.5947193027428864,1.0,1.0,0,1581,0.0,0.4052806972571136,197,2607,0.8477157360406091,0.1308016877637131,30,0.7186695711429404
05_h.jpg,connected_recovery_raw,0,0,86639,169821,0.6108944864696249,0.4397754385964912,0.904154018398181,0.8952483566360302,0.4612798181614759,91486,8304,1.0559447823728345,0.09584598160181904,0.7528772378516624,0.6036913611894386,0.6036913611894386,1.0,1.0,0,1546,0.0,0.3963086388105614,197,2617,0.8274111675126904,0.12609858616736722,34,0.7233963174165826
05_h.jpg,soft_structure_refined,0,3912,86639,157602,0.624628952550964,0.45415304743363044,0.8804349080668059,0.906886155896588,0.48400401010139465,81322,10359,0.938630408938238,0.11956509193319406,0.7460623593699774,0.5949756472699308,0.5949756472699308,1.0,1.0,0,1580,0.0,0.4050243527300692,197,2603,0.8477157360406091,0.13100268920476374,30,0.7185703915823998
06_dr.jpg,baseline_raw,0,0,72476,178108,0.45658142578935607,0.2958247577283869,0.7893095645455047,0.863776078168027,0.3211871448783884,120902,15270,1.6681660135769083,0.21069043545449528,0.777849951282884,0.6364602710603242,0.6364602710603242,1.0,1.0,0,4104,0.0,0.3635397289396758,1274,3726,0.8202511773940345,0.24745034889962425,229,0.6920661428792942
06_dr.jpg,connected_recovery_raw,0,0,72476,193403,0.4441945396214067,0.2855077649061056,0.8147662674540538,0.8486215584029277,0.3053261841853539,134352,13425,1.853744687896683,0.18523373254594624,0.7887988841800333,0.6512534325449553,0.6512534325449553,1.0,1.0,0,3937,0.0,0.34874656745504473,1274,3689,0.8124018838304553,0.24722146923285443,239,0.6905228716864844
06_dr.jpg,soft_structure_refined,0,3651,72476,180979,0.45552859481959324,0.294941423513363,0.7965119487830454,0.8611293891770814,0.31897623481177373,123251,14748,1.7005767426458414,0.20348805121695457,0.7791716232291555,0.6382319071662681,0.6382319071662681,1.0,1.0,0,4084,0.0,0.36176809283373196,1274,3696,0.8178963893249608,0.2481060606060606,232,0.6897007494135953
06_g.jpg,baseline_raw,0,0,65670,144969,0.5557755211523032,0.38482627132572894,0.8913354652048119,0.9033522301611262,0.40376908166573544,86435,7136,1.316202223237399,0.10866453479518806,0.7710382038116788,0.6273898881178304,0.6273898881178304,1.0,1.0,0,2631,0.0,0.37261011188216964,921,2490,0.7285559174809989,0.20200803212851406,250,0.7317676954881118
06_g.jpg,connected_recovery_raw,0,0,65670,162603,0.5235748424036132,0.354623354736105,0.909989340642607,0.8850044167141883,0.367514744500409,102844,5911,1.566072788183341,0.09001065935739302,0.7863526985218288,0.6479252230562244,0.6479252230562244,1.0,1.0,0,2486,0.0,0.35207477694377565,921,2487,0.7187839305103149,0.20064334539605952,259,0.7361129553752382
06_g.jpg,soft_structure_refined,0,3876,65670,149463,0.547103419744995,0.3765604704286455,0.8961474036850922,0.898680576520971,0.3937429330335936,90613,6820,1.3798233592203442,0.10385259631490787,0.7759382855161654,0.6339045460982864,0.6339045460982864,1.0,1.0,0,2585,0.0,0.36609545390171366,921,2491,0.7307274701411509,0.20152549177037335,248,0.7312158743534699
06_h.jpg,baseline_raw,0,0,97298,159748,0.6710394248500269,0.5049355393964942,0.8863902649591975,0.9147979255872828,0.539875303603175,73504,11054,0.755452321733232,0.11360973504080249,0.7474370922646785,0.5967261904761905,0.5967261904761905,1.0,1.0,0,2168,0.0,0.40327380952380953,310,2369,0.8064516129032258,0.21317011397214014,60,0.7889164687470721
06_h.jpg,connected_recovery_raw,0,0,97298,169365,0.6594015667715432,0.4918710558116636,0.9036054184053115,0.9055919657077415,0.5191096153278423,81446,9379,0.8370778433266871,0.09639458159468849,0.754257907542579,0.60546875,0.60546875,1.0,1.0,0,2121,0.0,0.39453125,310,2351,0.8032258064516129,0.21182475542322415,61,0.7913290944112265
06_h.jpg,soft_structure_refined,0,3731,97298,161496,0.6692504463009189,0.5029123958303087,0.8900388497194187,0.9131832312895994,0.5362299995046317,74897,10699,0.7697691627782688,0.1099611502805813,0.7486033519553073,0.5982142857142857,0.5982142857142857,1.0,1.0,0,2160,0.0,0.4017857142857143,310,2363,0.8064516129032258,0.21328819297503174,60,0.7892901343118388
07_dr.jpg,baseline_raw,0,0,74729,156517,0.5714606955363553,0.40003148233356745,0.8841815091865273,0.8978358039515584,0.42215222627574,90443,8655,1.2102798110505961,0.11581849081347269,0.789495904753863,0.6522042410714286,0.6522042410714286,1.0,1.0,0,2493,0.0,0.34779575892857145,861,2366,0.727061556329849,0.22358410819949281,235,0.77510726199832
