image,model,edges,terminals,length,length_per_terminal,coverage_dispersion,coverage_uniformity,occupied_grid_coverage,fractal_dim,branch_angle,density_corr,terminal_density_score,matched_terminal_density_score,density_lift_over_random
11_h.jpg,Density Direction Only,71,32,5.321013761597441,0.16628168004992003,0.023672565987085316,0.5302360838531207,0.05063291139240506,0.5502296098276297,54.457074292321494,-0.13278859501414245,0.08970845437485761,0.0910181214845483,-0.20638343632220796
11_h.jpg,Density Survival Only,43,18,3.6690073479987206,0.20383374155548448,0.015504644891545193,0.32300041740469465,0.03164556962025317,0.45626045877055044,55.42944310305289,-0.1045013555761915,0.09212907895762809,0.09345916393057058,-0.20176284031022995
11_h.jpg,Density-Aware,71,32,5.321013761597441,0.16628168004992003,0.023672565987085316,0.5302360838531207,0.05063291139240506,0.5502296098276297,54.457074292321494,-0.13278859501414245,0.08970845437485761,0.0910181214845483,-0.20638343632220796
12_h.jpg,Baseline,61,29,4.234452281344,0.1460155959084138,0.009513699401243981,0.2572378561500498,0.056962025316455694,0.5460938072664654,54.03880294989891,-0.15876554869398635,0.049123250674417605,0.04733802135989195,-0.2734735053350363
12_h.jpg,Constrained,3,2,0.6348,0.3174,0.0,0.0,0.006329113924050633,0.04002147314474575,,0.007969424775658448,0.34787709483012696,0.34787709483012696,-0.015511142058045102
12_h.jpg,Density Depth Only,4,2,0.8096000000000001,0.40480000000000005,0.0,0.0,0.006329113924050633,0.11639075505694658,,0.01274958154733776,0.36675425771701575,0.36675425771701575,0.0033660208288436855
12_h.jpg,Density Direction Only,4,2,0.8096000000000001,0.40480000000000005,0.0,0.0,0.006329113924050633,0.11639075505694658,,0.01274958154733776,0.36675425771701575,0.36675425771701575,0.0033660208288436855
12_h.jpg,Density Survival Only,4,2,0.8096000000000001,0.40480000000000005,0.0,0.0,0.006329113924050633,0.11639075505694658,,0.01274958154733776,0.36675425771701575,0.36675425771701575,0.0033660208288436855
12_h.jpg,Density-Aware,4,2,0.8096000000000001,0.40480000000000005,0.0,0.0,0.006329113924050633,0.11639075505694658,,0.01274958154733776,0.36675425771701575,0.36675425771701575,0.0033660208288436855
13_h.jpg,Baseline,61,29,4.234452281344,0.1460155959084138,0.009513699401243981,0.2572378561500498,0.056962025316455694,0.5460938072664654,54.03880294989891,0.10612325117368096,0.47366415305487247,0.49680045803025924,0.19059612422966365
13_h.jpg,Constrained,81,36,5.7722735484518415,0.16034093190144005,0.0129562692108531,0.3330361598110014,0.04746835443037975,0.5708878921494661,55.12278073419049,-0.09245369246390836,0.1177609276367792,0.1198330275628872,-0.17227326126482728
13_h.jpg,Density Depth Only,53,26,4.07967456759808,0.15691056029223385,0.1580507367368587,2.289436468610519,0.03481012658227848,0.5236400999630181,55.67391217090326,-0.08057826590830333,0.13231836867671218,0.14211558403718733,-0.1511326619304314
13_h.jpg,Density Direction Only,67,30,4.960331739176961,0.16534439130589867,0.00844888010195232,0.22647626101710244,0.04430379746835443,0.523973463065121,56.05406753938002,-0.09214390841227546,0.1386838311581952,0.14043136021710062,-0.15156336264406756
13_h.jpg,Density Survival Only,50,24,3.932715516805121,0.1638631465335467,0.16259891791790523,2.207877104688254,0.03481012658227848,0.5120874926945577,55.02310152144201,-0.08116677135109708,0.12603188567871182,0.12615076912248066,-0.1613148359911663
13_h.jpg,Density-Aware,67,30,4.960331739176961,0.16534439130589867,0.00844888010195232,0.22647626101710244,0.04430379746835443,0.523973463065121,56.05406753938002,-0.09214390841227546,0.1386838311581952,0.14043136021710062,-0.15156336264406756
14_h.jpg,Baseline,61,29,4.234452281344,0.1460155959084138,0.009513699401243981,0.2572378561500498,0.056962025316455694,0.5460938072664654,54.03880294989891,-0.17505517498361065,0.04569169835043427,0.04483643479839375,-0.26335688920134775
14_h.jpg,Constrained,16,7,1.4629556419788803,0.20899366313984005,0.24359314945587845,1.8381345503829312,0.015822784810126583,0.33665727675522017,61.18965211797422,-0.024443553864108868,0.24705068648481557,0.24705068648481557,-0.037619462418465394
14_h.jpg,Density Depth Only,3,2,0.6348,0.3174,0.0,0.0,0.006329113924050633,0.09723415174708089,,0.01940609740942607,0.39094125411543623,0.39094125411543623,0.029952111894263278
14_h.jpg,Density Direction Only,15,6,1.4186346584064002,0.23643910973440005,0.22869628292139532,1.5140930820130412,0.012658227848101266,0.31917859333793364,58.82342212695538,0.011825178674207456,0.34817881712223003,0.34817881712223003,-0.0009729602638557933
14_h.jpg,Density Survival Only,3,2,0.6348,0.3174,0.0,0.0,0.006329113924050633,0.09723415174708089,,0.01940609740942607,0.39094125411543623,0.39094125411543623,0.029952111894263278
14_h.jpg,Density-Aware,15,6,1.4186346584064002,0.23643910973440005,0.22869628292139532,1.5140930820130412,0.012658227848101266,0.31917859333793364,58.82342212695538,0.011825178674207456,0.34817881712223003,0.34817881712223003,-0.0009729602638557933
15_h.jpg,Baseline,61,29,4.234452281344,0.1460155959084138,0.009513699401243981,0.2572378561500498,0.056962025316455694,0.5460938072664654,54.03880294989891,0.0553795876556205,0.43310717287209155,0.4381120212237206,0.14387460800767354
15_h.jpg,Constrained,49,25,3.6349216500531205,0.1453968660021248,0.11463653484813616,1.587027316567771,0.04746835443037975,0.5127759785030358,56.789349700753895,-0.14989763494663336,0.07114729389897839,0.08452585937260901,-0.21755987254174441
15_h.jpg,Density Depth Only,36,18,2.9049998983987204,0.16138888324437337,0.16212458043962483,1.8707115800723704,0.04113924050632911,0.4765890834210322,55.68735814447125,-0.12352936269096855,0.04610701327657468,0.051167782733861994,-0.24589525772093895
15_h.jpg,Density Direction Only,40,21,3.2274543455436806,0.15368830216874668,0.1448313289663267,1.8511662486712797,0.03481012658227848,0.49317177058017186,54.780228152993374,-0.10667365374216323,0.05526646891221015,0.05835552583121107,-0.24034802142047848
15_h.jpg,Density Survival Only,36,18,2.9049998983987204,0.16138888324437337,0.16212458043962483,1.8707115800723704,0.04113924050632911,0.4765890834210322,55.68735814447125,-0.12352936269096855,0.04610701327657468,0.051167782733861994,-0.24589525772093895
15_h.jpg,Density-Aware,40,21,3.2274543455436806,0.15368830216874668,0.1448313289663267,1.8511662486712797,0.03481012658227848,0.49317177058017186,54.780228152993374,-0.10667365374216323,0.05526646891221015,0.05835552583121107,-0.24034802142047848
