alpha,max_depth,initial_length,density_weight,density_depth_weight,density_direction_weight,density_survival_weight,density_angle_span,density_horizon_weight,edges,terminals,length,occupied_grid_coverage,coverage_dispersion,terminal_density_score,matched_terminal_density_score,density_lift_over_random,search_score
0.76,6,0.26,0.6,0.5,0.7,0.0,1.0,0.5,55.0,26.333333333333332,5.790006557523968,0.05654008438818566,0.07234512972767575,0.1431768925066556,0.1413399166594753,-0.02212171252180041,0.14667659497053334
0.76,6,0.26,0.6,0.75,0.5,0.0,1.5,0.5,56.46666666666667,26.733333333333334,5.867092072928597,0.05801687763713081,0.07624440996375427,0.15000646810769913,0.14720193218367647,-0.014672779832897305,0.1466764770580114
0.76,6,0.26,0.6,0.5,0.5,0.0,1.5,1.0,55.93333333333333,26.533333333333335,5.841171596012203,0.05843881856540085,0.07699817200559546,0.1445769298086837,0.14212225640257334,-0.020351691716879207,0.14140361426900738
0.76,6,0.26,0.6,0.5,0.5,0.0,1.0,0.0,54.733333333333334,26.266666666666666,5.7733034621938355,0.05780590717299578,0.07453117464800695,0.14082274002724982,0.13686252578859584,-0.02575950918935451,0.13946772642830732
0.76,6,0.26,0.6,0.5,0.5,0.0,1.5,0.0,56.733333333333334,27.0,5.943492036094635,0.060548523206751054,0.04488550490110119,0.1441452230932558,0.14160471577068062,-0.021503830790393516,0.13384095148209907
0.76,6,0.26,0.6,0.75,0.5,0.0,1.0,0.0,55.6,26.466666666666665,5.810963342000128,0.05717299578059072,0.07936358539667694,0.14290125312684715,0.13977030584665598,-0.021927459918779417,0.13380440533922155
0.76,6,0.26,0.6,0.75,0.5,0.0,1.0,1.0,56.46666666666667,26.866666666666667,5.855007407805782,0.0580168776371308,0.07773413104306634,0.1501125920892288,0.1450620276741527,-0.01536496649184235,0.132594474934309
0.76,6,0.26,0.6,0.5,0.9,0.0,1.5,0.5,57.2,27.066666666666666,5.962788250451967,0.05864978902953586,0.048246451403519776,0.14643860799474076,0.14292689669726763,-0.0201696987243362,0.12648274687402783
0.76,6,0.26,0.6,0.75,0.5,0.0,1.5,0.0,57.8,27.533333333333335,5.996934149619711,0.06139240506329113,0.04517755884614038,0.15176543632419712,0.14709969325274455,-0.014592694662704853,0.12388634558741131
0.76,6,0.26,0.6,0.75,0.5,0.0,1.5,1.0,56.733333333333334,26.933333333333334,5.881253181156011,0.059071729957805914,0.07818574765387211,0.14651168936626804,0.1428694168182391,-0.019408507544369825,0.11981509384395594
